Market A,Market B,Market C,P1,P2,P3,Profit(%)
BTC,ETH,EOS,0.06671,0.000498,3.32e-05,-0.6495777744465192
BTC,ETH,SOL,0.06671,0.01137,0.0007581,-0.5177373493508997
BTC,ETH,ZEC,0.06671,0.0185,0.001233,-0.9196724831563863
BTC,ETH,UNI,0.06671,0.00292,0.0001944,-2.0185509555774583
BTC,ETH,AAVE,0.06671,0.0362,0.002411,-1.6158005583665203
BTC,ETH,DOT,0.06671,0.002962,0.0001986,5.086059355139616
BTC,ETH,DOGE,0.06671,4.06e-05,2.71e-06,0.5811493465206485
BTC,ETH,XMR,0.06671,0.08276,0.005526,0.920209017352791
BTC,ETH,NEO,0.06671,0.00521,0.000348,1.2685612317444583
BTC,ETH,MKR,0.06671,0.35,0.0234,2.2057091461977762
BTC,ETH,IOST,0.06671,5.32e-06,3.57e-07,5.925096055984458
BTC,ETH,DASH,0.06671,0.0242,0.001612,-1.4754872143025732
BTC,ETH,FIL,0.06671,0.002483,0.0001663,3.9789078701741865
BTC,ETH,QTUM,0.06671,0.00146,9.73e-05,-0.9918210697293928
BTC,ETH,MANA,0.06671,0.0002792,1.872e-05,5.077358742605176
BTC,ETH,XLM,0.06671,4.89e-05,3.27e-06,2.4159143182695964
BTC,ETH,ATOM,0.06671,0.005996,0.0004006,1.51712594285347
BTC,ETH,XRP,0.06671,0.000257,1.71e-05,-2.5938392962864265
BTC,ETH,LINK,0.06671,0.00367,0.000245,0.7119350623727705
BTC,ETH,TRX,0.06671,3.882e-05,2.59e-06,0.12271776050365446
BTC,ETH,WBTC,0.06671,15.06,1.0007,-3.934295297698065
BTC,ETH,NEAR,0.06671,0.000925,6.152e-05,-3.0264112110913732
BTC,ETH,ETC,0.06671,0.01019,0.00068,0.3311390285225535
